,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,timestamp
1508,36.06412,27.89213,367.0,0.66,0.73,2023-07-25,1212,N,VIIRS,h,2,321.34,63.19,D,0,2023-07-25 12:12:00
1507,36.05074,27.90878,367.0,0.67,0.73,2023-07-25,1212,N,VIIRS,h,2,316.41,135.33,D,0,2023-07-25 12:12:00
1506,36.04363,27.90022,321.41,0.67,0.73,2023-07-25,1212,N,VIIRS,l,2,323.94,212.06,D,0,2023-07-25 12:12:00
1505,36.04384,27.90891,367.0,0.67,0.73,2023-07-25,1212,N,VIIRS,h,2,327.89,135.33,D,0,2023-07-25 12:12:00
1513,36.04364,27.90379,367.0,0.67,0.73,2023-07-25,1212,N,VIIRS,h,2,333.37,112.89,D,0,2023-07-25 12:12:00
1511,36.07098,27.89074,349.3,0.66,0.73,2023-07-25,1212,N,VIIRS,n,2,321.59,48.63,D,0,2023-07-25 12:12:00
1526,36.07396,27.88818,331.29,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,300.08,11.94,N,0,2023-07-25 22:52:00
1524,36.21862,28.05053,316.05,0.77,0.77,2023-07-25,2252,N,VIIRS,n,2,300.07,3.93,N,0,2023-07-25 22:52:00
1525,36.07406,27.87926,367.0,0.78,0.78,2023-07-25,2252,N,VIIRS,h,2,303.43,15.01,N,0,2023-07-25 22:52:00
1528,36.06673,27.87802,325.54,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,299.92,15.01,N,0,2023-07-25 22:52:00
1529,36.05191,27.89445,324.69,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,299.42,8.41,N,0,2023-07-25 22:52:00
1558,36.02942,27.88617,324.24,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,302.73,8.68,N,0,2023-07-25 22:52:00
1557,36.02953,27.8781,323.9,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,300.84,8.68,N,0,2023-07-25 22:52:00
1556,36.0363,27.91704,311.6,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,299.63,5.15,N,0,2023-07-25 22:52:00
1555,36.03672,27.88772,334.26,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,301.36,8.03,N,0,2023-07-25 22:52:00
1554,36.03683,27.87977,345.86,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,304.12,8.03,N,0,2023-07-25 22:52:00
1553,36.04419,27.87829,316.81,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,299.34,8.03,N,0,2023-07-25 22:52:00
1552,36.0436,27.91788,321.97,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,299.69,5.15,N,0,2023-07-25 22:52:00
1551,36.04372,27.9101,329.6,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,300.69,5.15,N,0,2023-07-25 22:52:00
1550,36.04407,27.88615,337.96,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,301.28,8.03,N,0,2023-07-25 22:52:00
1549,36.05116,27.90193,315.1,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,299.58,5.89,N,0,2023-07-25 22:52:00
1548,36.05104,27.91021,340.22,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,302.31,12.14,N,0,2023-07-25 22:52:00
1547,36.0513,27.89297,323.52,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,299.45,5.89,N,0,2023-07-25 22:52:00
1546,36.06621,27.87615,323.38,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,300.01,11.09,N,0,2023-07-25 22:52:00
1545,36.07324,27.89515,349.57,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,301.83,13.72,N,0,2023-07-25 22:52:00
1544,36.07338,27.88637,333.18,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,300.28,11.09,N,0,2023-07-25 22:52:00
1543,36.07352,27.87736,367.0,0.78,0.78,2023-07-25,2252,N,VIIRS,h,2,302.79,11.09,N,0,2023-07-25 22:52:00
1542,36.02268,27.88564,354.69,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,303.55,10.89,N,0,2023-07-25 22:52:00
1541,36.02275,27.87739,328.26,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,301.03,12.17,N,0,2023-07-25 22:52:00
1540,36.02999,27.88789,320.72,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,301.21,10.89,N,0,2023-07-25 22:52:00
1539,36.03007,27.87961,327.91,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,301.9,12.17,N,0,2023-07-25 22:52:00
1538,36.03746,27.8731,309.8,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,298.6,9.64,N,0,2023-07-25 22:52:00
1537,36.03731,27.88918,331.01,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,301.01,8.96,N,0,2023-07-25 22:52:00
1536,36.03739,27.88115,351.36,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,305.06,9.64,N,0,2023-07-25 22:52:00
1535,36.04434,27.91932,309.51,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,299.35,9.34,N,0,2023-07-25 22:52:00
1534,36.04442,27.91152,343.14,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,302.21,16.55,N,0,2023-07-25 22:52:00
1533,36.04465,27.88741,326.28,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,300.26,8.96,N,0,2023-07-25 22:52:00
1532,36.04473,27.87963,324.32,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,299.57,9.64,N,0,2023-07-25 22:52:00
1531,36.05182,27.90369,314.53,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,299.77,5.97,N,0,2023-07-25 22:52:00
1530,36.05173,27.91183,339.19,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,302.1,5.97,N,0,2023-07-25 22:52:00
1527,36.07386,27.89687,344.92,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,300.89,11.94,N,0,2023-07-25 22:52:00
1559,36.02212,27.88396,367.0,0.78,0.78,2023-07-25,2252,N,VIIRS,h,2,305.3,8.68,N,0,2023-07-25 22:52:00
1560,36.02224,27.87583,314.58,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,299.65,8.68,N,0,2023-07-25 22:52:00
1566,35.99997,27.89716,327.18,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,301.68,20.88,N,0,2023-07-25 22:52:00
1562,36.01437,27.91562,310.41,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,299.79,4.57,N,0,2023-07-25 22:52:00
1563,36.00728,27.89805,322.73,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,301.6,15.38,N,0,2023-07-25 22:52:00
1564,36.00717,27.90668,337.15,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,302.58,4.57,N,0,2023-07-25 22:52:00
1561,36.01448,27.90746,323.34,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,301.42,4.57,N,0,2023-07-25 22:52:00
1567,35.99986,27.90589,353.48,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,303.94,9.45,N,0,2023-07-25 22:52:00
1568,35.99255,27.90545,321.09,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,299.06,9.45,N,0,2023-07-25 22:52:00
1565,36.00706,27.91511,312.19,0.78,0.78,2023-07-25,2252,N,VIIRS,n,2,298.82,4.57,N,0,2023-07-25 22:52:00
572,36.05125,27.9137,332.21,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,303.82,3.92,N,0,2023-07-25 23:42:00
565,36.06919,27.88072,344.54,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,305.25,6.49,N,0,2023-07-25 23:42:00
571,36.05189,27.90849,331.33,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,303.77,3.92,N,0,2023-07-25 23:42:00
570,36.05252,27.90326,329.17,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,300.14,14.03,N,0,2023-07-25 23:42:00
569,36.05318,27.89786,344.83,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,305.77,14.03,N,0,2023-07-25 23:42:00
568,36.06676,27.87886,327.31,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,301.59,4.72,N,0,2023-07-25 23:42:00
567,36.05571,27.89969,317.11,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,299.11,0.82,N,0,2023-07-25 23:42:00
566,36.06553,27.87993,311.75,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,300.77,6.49,N,0,2023-07-25 23:42:00
564,36.07285,27.88149,342.94,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,307.49,18.71,N,0,2023-07-25 23:42:00
560,36.21593,28.05625,331.88,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,303.27,4.01,N,0,2023-07-25 23:42:00
562,36.07527,27.89278,352.06,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,305.59,15.94,N,0,2023-07-25 23:42:00
561,36.0759,27.88749,347.39,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,307.3,15.94,N,0,2023-07-25 23:42:00
573,36.04758,27.91308,331.47,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,303.83,10.43,N,0,2023-07-25 23:42:00
559,36.21656,28.05107,321.96,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,302.01,4.01,N,0,2023-07-25 23:42:00
606,36.00303,27.90974,329.27,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,305.3,6.56,N,0,2023-07-25 23:42:00
607,36.0,27.90379,331.64,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,303.59,16.89,N,0,2023-07-25 23:42:00
608,35.99937,27.90905,344.32,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,307.58,6.56,N,0,2023-07-25 23:42:00
609,35.9957,27.90835,327.75,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,303.83,2.91,N,0,2023-07-25 23:42:00
604,36.00668,27.9105,317.64,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,303.92,3.91,N,0,2023-07-25 23:42:00
563,36.07465,27.89803,353.17,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,310.02,22.65,N,0,2023-07-25 23:42:00
574,36.04696,27.91815,324.49,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,302.12,16.91,N,0,2023-07-25 23:42:00
603,36.00971,27.91643,335.14,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,305.38,3.91,N,0,2023-07-25 23:42:00
576,36.04647,27.89142,315.49,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,300.92,1.84,N,0,2023-07-25 23:42:00
575,36.0433,27.91745,344.47,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,316.68,16.91,N,0,2023-07-25 23:42:00
602,36.01035,27.9112,327.55,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,304.35,3.91,N,0,2023-07-25 23:42:00
601,36.01098,27.90597,336.57,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,304.74,5.84,N,0,2023-07-25 23:42:00
600,36.014,27.91191,340.32,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,304.66,3.8,N,0,2023-07-25 23:42:00
599,36.01703,27.91784,315.45,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,301.84,3.8,N,0,2023-07-25 23:42:00
598,36.01828,27.9075,313.67,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,303.41,3.07,N,0,2023-07-25 23:42:00
597,36.02081,27.88661,342.07,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,307.01,7.68,N,0,2023-07-25 23:42:00
596,36.02143,27.88141,331.66,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,304.82,7.68,N,0,2023-07-25 23:42:00
595,36.02378,27.89301,319.22,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,303.12,4.56,N,0,2023-07-25 23:42:00
594,36.02445,27.88746,326.96,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,305.34,4.68,N,0,2023-07-25 23:42:00
593,36.02507,27.88232,326.05,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,302.54,4.68,N,0,2023-07-25 23:42:00
592,36.02743,27.89384,331.15,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,306.58,4.56,N,0,2023-07-25 23:42:00
591,36.02809,27.88839,325.31,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,304.51,4.68,N,0,2023-07-25 23:42:00
582,36.0397,27.88544,352.88,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,311.6,7.7,N,0,2023-07-25 23:42:00
589,36.03237,27.88401,330.84,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,303.03,3.5,N,0,2023-07-25 23:42:00
577,36.04266,27.92269,312.11,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,302.09,16.91,N,0,2023-07-25 23:42:00
578,36.0434,27.88587,331.02,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,302.43,7.7,N,0,2023-07-25 23:42:00
579,36.03963,27.91676,336.18,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,308.5,18.57,N,0,2023-07-25 23:42:00
580,36.04278,27.89093,319.93,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,302.02,7.7,N,0,2023-07-25 23:42:00
581,36.04033,27.88021,331.33,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,303.58,8.65,N,0,2023-07-25 23:42:00
605,36.00365,27.90455,344.15,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,311.94,16.89,N,0,2023-07-25 23:42:00
590,36.02872,27.88317,347.37,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,304.4,4.68,N,0,2023-07-25 23:42:00
584,36.03534,27.92127,313.81,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,301.84,18.57,N,0,2023-07-25 23:42:00
585,36.03602,27.88482,325.17,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,305.14,3.5,N,0,2023-07-25 23:42:00
586,36.0354,27.88996,332.38,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,304.9,3.5,N,0,2023-07-25 23:42:00
587,36.03665,27.87965,310.65,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,300.26,3.22,N,0,2023-07-25 23:42:00
588,36.03168,27.92062,315.07,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,301.67,2.44,N,0,2023-07-25 23:42:00
583,36.03598,27.91606,312.06,0.48,0.4,2023-07-25,2342,N20,VIIRS,n,2,301.61,18.57,N,0,2023-07-25 23:42:00
1591,36.03485,27.91816,317.91,0.5,0.49,2023-07-26,32,N,VIIRS,n,2,300.8,20.72,N,0,2023-07-26 00:32:00
1592,36.03861,27.88154,349.66,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,309.61,26.3,N,0,2023-07-26 00:32:00
1593,36.03732,27.88712,334.99,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,303.18,5.36,N,0,2023-07-26 00:32:00
1594,36.03594,27.89309,339.81,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,302.41,5.36,N,0,2023-07-26 00:32:00
1595,36.03051,27.91649,311.71,0.5,0.49,2023-07-26,32,N,VIIRS,n,2,300.46,2.02,N,0,2023-07-26 00:32:00
1596,36.03423,27.88006,340.26,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,302.76,26.3,N,0,2023-07-26 00:32:00
1597,36.03289,27.88584,327.33,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,302.72,5.36,N,0,2023-07-26 00:32:00
1600,36.02716,27.89018,332.96,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,304.91,4.64,N,0,2023-07-26 00:32:00
1599,36.02842,27.88472,341.86,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,304.7,4.64,N,0,2023-07-26 00:32:00
1601,36.02396,27.88361,335.98,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,303.8,4.64,N,0,2023-07-26 00:32:00
1602,36.02267,27.88915,340.18,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,304.01,4.64,N,0,2023-07-26 00:32:00
1603,36.01603,27.91766,311.79,0.5,0.49,2023-07-26,32,N,VIIRS,n,2,301.13,1.79,N,0,2023-07-26 00:32:00
1590,36.04154,27.88926,333.63,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,302.84,3.65,N,0,2023-07-26 00:32:00
1605,36.01294,27.91062,323.8,0.5,0.49,2023-07-26,32,N,VIIRS,n,2,302.46,2.46,N,0,2023-07-26 00:32:00
1606,36.00984,27.90362,322.18,0.5,0.49,2023-07-26,32,N,VIIRS,n,2,302.87,2.46,N,0,2023-07-26 00:32:00
1607,36.00854,27.90918,313.91,0.5,0.49,2023-07-26,32,N,VIIRS,n,2,302.2,2.46,N,0,2023-07-26 00:32:00
1598,36.03159,27.89144,323.92,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,301.31,5.36,N,0,2023-07-26 00:32:00
1604,36.01949,27.88251,354.16,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,305.69,14.46,N,0,2023-07-26 00:32:00
1589,36.03923,27.91972,350.83,0.5,0.49,2023-07-26,32,N,VIIRS,n,2,310.86,20.72,N,0,2023-07-26 00:32:00
1587,36.04578,27.89137,339.34,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,301.14,3.65,N,0,2023-07-26 00:32:00
1569,36.21557,28.0538,317.91,0.5,0.49,2023-07-26,32,N,VIIRS,n,2,301.03,4.53,N,0,2023-07-26 00:32:00
1570,36.21491,28.05117,314.08,0.5,0.49,2023-07-26,32,N,VIIRS,n,2,300.04,2.55,N,0,2023-07-26 00:32:00
1588,36.04054,27.91406,340.05,0.5,0.49,2023-07-26,32,N,VIIRS,n,2,301.79,20.72,N,0,2023-07-26 00:32:00
1572,36.07886,27.8912,310.68,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,298.63,5.44,N,0,2023-07-26 00:32:00
1573,36.07634,27.90224,313.56,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,298.54,4.75,N,0,2023-07-26 00:32:00
1574,36.07578,27.88406,336.61,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,300.5,9.25,N,0,2023-07-26 00:32:00
1575,36.07452,27.88953,357.01,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,304.12,12.83,N,0,2023-07-26 00:32:00
1576,36.07328,27.89496,348.25,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,300.26,12.83,N,0,2023-07-26 00:32:00
1571,36.07759,27.89673,344.82,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,302.51,5.44,N,0,2023-07-26 00:32:00
1578,36.07139,27.88263,343.68,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,304.98,9.25,N,0,2023-07-26 00:32:00
1577,36.07205,27.90035,330.56,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,299.26,5.03,N,0,2023-07-26 00:32:00
1586,36.04363,27.92115,319.48,0.5,0.49,2023-07-26,32,N,VIIRS,n,2,300.06,3.95,N,0,2023-07-26 00:32:00
1585,36.04497,27.91537,349.58,0.5,0.49,2023-07-26,32,N,VIIRS,n,2,304.48,3.95,N,0,2023-07-26 00:32:00
1584,36.04934,27.91692,314.86,0.5,0.49,2023-07-26,32,N,VIIRS,n,2,300.18,3.95,N,0,2023-07-26 00:32:00
1581,36.05439,27.89501,339.23,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,299.56,5.34,N,0,2023-07-26 00:32:00
1582,36.05193,27.90569,367.0,0.5,0.49,2023-07-26,32,N,VIIRS,h,2,304.47,23.1,N,0,2023-07-26 00:32:00
1580,36.06821,27.87593,339.29,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,300.46,8.29,N,0,2023-07-26 00:32:00
1579,36.07263,27.87723,308.0,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,297.14,9.25,N,0,2023-07-26 00:32:00
1583,36.05317,27.90033,311.05,0.49,0.49,2023-07-26,32,N,VIIRS,n,2,298.21,5.34,N,0,2023-07-26 00:32:00
1608,36.03143,27.88444,340.9,0.49,0.49,2023-07-26,33,N,VIIRS,n,2,305.84,9.77,N,0,2023-07-26 00:33:00
1609,36.02697,27.88332,336.46,0.49,0.49,2023-07-26,33,N,VIIRS,n,2,303.32,9.77,N,0,2023-07-26 00:33:00
1611,36.02454,27.89412,331.18,0.5,0.49,2023-07-26,33,N,VIIRS,n,2,303.37,6.44,N,0,2023-07-26 00:33:00
1612,36.0225,27.88222,345.15,0.49,0.49,2023-07-26,33,N,VIIRS,n,2,305.84,8.67,N,0,2023-07-26 00:33:00
1613,36.0161,27.91059,315.27,0.5,0.49,2023-07-26,33,N,VIIRS,n,2,301.68,1.95,N,0,2023-07-26 00:33:00
1614,36.01805,27.88107,339.44,0.49,0.49,2023-07-26,33,N,VIIRS,n,2,302.15,8.67,N,0,2023-07-26 00:33:00
1615,36.01168,27.90925,319.37,0.5,0.49,2023-07-26,33,N,VIIRS,n,2,302.29,1.95,N,0,2023-07-26 00:33:00
1616,36.01042,27.91484,312.09,0.5,0.49,2023-07-26,33,N,VIIRS,n,2,302.06,1.95,N,0,2023-07-26 00:33:00
1617,36.00854,27.90221,313.49,0.5,0.49,2023-07-26,33,N,VIIRS,n,2,302.62,5.28,N,0,2023-07-26 00:33:00
1618,36.00729,27.90778,313.31,0.5,0.49,2023-07-26,33,N,VIIRS,n,2,302.57,5.33,N,0,2023-07-26 00:33:00
1619,36.00415,27.90078,340.37,0.5,0.49,2023-07-26,33,N,VIIRS,n,2,303.49,5.28,N,0,2023-07-26 00:33:00
1610,36.0257,27.88893,336.83,0.5,0.49,2023-07-26,33,N,VIIRS,n,2,304.11,6.44,N,0,2023-07-26 00:33:00
1620,36.0029,27.9063,342.9,0.5,0.49,2023-07-26,33,N,VIIRS,n,2,305.52,5.33,N,0,2023-07-26 00:33:00
1621,35.9985,27.90483,326.13,0.5,0.49,2023-07-26,33,N,VIIRS,n,2,303.06,4.8,N,0,2023-07-26 00:33:00
610,36.02467,27.88195,340.25,0.4,0.37,2023-07-26,1102,N20,VIIRS,n,2,313.48,4.95,D,0,2023-07-26 11:02:00
638,36.08697,27.89002,367.0,0.4,0.37,2023-07-26,1102,N20,VIIRS,l,2,357.96,99.5,D,0,2023-07-26 11:02:00
637,36.08769,27.89437,353.04,0.4,0.37,2023-07-26,1102,N20,VIIRS,n,2,314.09,43.48,D,0,2023-07-26 11:02:00
636,36.08365,27.89085,367.0,0.4,0.37,2023-07-26,1102,N20,VIIRS,l,2,332.79,99.5,D,0,2023-07-26 11:02:00
635,36.08437,27.89518,367.0,0.4,0.37,2023-07-26,1102,N20,VIIRS,l,2,327.59,43.48,D,0,2023-07-26 11:02:00
634,36.08294,27.88654,367.0,0.4,0.37,2023-07-26,1102,N20,VIIRS,h,2,331.03,99.5,D,0,2023-07-26 11:02:00
633,36.07963,27.88737,367.0,0.4,0.37,2023-07-26,1102,N20,VIIRS,l,2,328.22,50.75,D,0,2023-07-26 11:02:00
632,36.07892,27.88307,344.95,0.4,0.37,2023-07-26,1102,N20,VIIRS,n,2,309.11,41.49,D,0,2023-07-26 11:02:00
631,36.08034,27.89167,367.0,0.4,0.37,2023-07-26,1102,N20,VIIRS,h,2,322.9,50.75,D,0,2023-07-26 11:02:00
630,36.08105,27.89598,367.0,0.4,0.37,2023-07-26,1102,N20,VIIRS,h,2,320.13,7.76,D,0,2023-07-26 11:02:00
629,36.07703,27.89251,347.78,0.4,0.37,2023-07-26,1102,N20,VIIRS,n,2,318.62,50.75,D,0,2023-07-26 11:02:00
628,36.07775,27.89682,350.02,0.4,0.37,2023-07-26,1102,N20,VIIRS,n,2,324.14,7.76,D,0,2023-07-26 11:02:00
627,36.0756,27.88389,367.0,0.4,0.37,2023-07-26,1102,N20,VIIRS,h,2,344.16,41.49,D,0,2023-07-26 11:02:00
626,36.07632,27.88821,367.0,0.4,0.37,2023-07-26,1102,N20,VIIRS,h,2,338.74,50.75,D,0,2023-07-26 11:02:00
611,36.02396,27.87763,352.94,0.4,0.37,2023-07-26,1102,N20,VIIRS,n,2,316.82,10.07,D,0,2023-07-26 11:02:00
624,36.07515,27.90197,367.0,0.4,0.37,2023-07-26,1102,N20,VIIRS,l,2,327.3,32.25,D,0,2023-07-26 11:02:00
625,36.07845,27.90111,367.0,0.4,0.37,2023-07-26,1102,N20,VIIRS,h,2,324.69,7.76,D,0,2023-07-26 11:02:00
612,36.028,27.8812,367.0,0.4,0.37,2023-07-26,1102,N20,VIIRS,h,2,320.3,17.26,D,0,2023-07-26 11:02:00
613,36.02729,27.87689,367.0,0.4,0.37,2023-07-26,1102,N20,VIIRS,l,2,335.52,85.7,D,0,2023-07-26 11:02:00
614,36.03061,27.87613,367.0,0.4,0.37,2023-07-26,1102,N20,VIIRS,h,2,336.15,85.7,D,0,2023-07-26 11:02:00
615,36.03204,27.88475,340.94,0.4,0.37,2023-07-26,1102,N20,VIIRS,n,2,314.04,17.26,D,0,2023-07-26 11:02:00
617,36.03465,27.87968,367.0,0.4,0.37,2023-07-26,1102,N20,VIIRS,h,2,339.23,45.18,D,0,2023-07-26 11:02:00
616,36.03132,27.88044,351.76,0.4,0.37,2023-07-26,1102,N20,VIIRS,n,2,320.69,17.26,D,0,2023-07-26 11:02:00
619,36.03796,27.87887,354.74,0.4,0.37,2023-07-26,1102,N20,VIIRS,n,2,324.71,45.18,D,0,2023-07-26 11:02:00
620,36.04198,27.88227,367.0,0.4,0.37,2023-07-26,1102,N20,VIIRS,h,2,358.9,49.42,D,0,2023-07-26 11:02:00
621,36.04268,27.88655,353.16,0.4,0.37,2023-07-26,1102,N20,VIIRS,n,2,319.51,27.13,D,0,2023-07-26 11:02:00
622,36.04127,27.87799,343.84,0.4,0.37,2023-07-26,1102,N20,VIIRS,n,2,311.22,49.42,D,0,2023-07-26 11:02:00
623,36.04528,27.88137,343.99,0.4,0.37,2023-07-26,1102,N20,VIIRS,n,2,309.85,49.42,D,0,2023-07-26 11:02:00
618,36.03536,27.88398,341.48,0.4,0.37,2023-07-26,1102,N20,VIIRS,n,2,313.62,45.18,D,0,2023-07-26 11:02:00
647,36.04811,27.88386,340.96,0.56,0.52,2023-07-26,2323,N20,VIIRS,n,2,298.81,6.64,N,0,2023-07-26 23:23:00
650,36.03382,27.87695,308.52,0.56,0.52,2023-07-26,2323,N20,VIIRS,n,2,296.99,3.36,N,0,2023-07-26 23:23:00
649,36.04331,27.88383,311.09,0.56,0.52,2023-07-26,2323,N20,VIIRS,n,2,296.36,6.64,N,0,2023-07-26 23:23:00
646,36.04858,27.87785,335.43,0.56,0.52,2023-07-26,2323,N20,VIIRS,n,2,295.44,6.64,N,0,2023-07-26 23:23:00
648,36.04378,27.87786,343.28,0.56,0.52,2023-07-26,2323,N20,VIIRS,n,2,299.76,6.64,N,0,2023-07-26 23:23:00
644,36.08189,27.8819,343.76,0.56,0.52,2023-07-26,2323,N20,VIIRS,n,2,300.09,16.39,N,0,2023-07-26 23:23:00
645,36.07713,27.88136,345.83,0.56,0.52,2023-07-26,2323,N20,VIIRS,n,2,301.5,32.66,N,0,2023-07-26 23:23:00
639,36.09986,27.89747,308.88,0.56,0.52,2023-07-26,2323,N20,VIIRS,n,2,295.62,1.53,N,0,2023-07-26 23:23:00
640,36.09938,27.90333,311.33,0.56,0.52,2023-07-26,2323,N20,VIIRS,n,2,295.04,1.53,N,0,2023-07-26 23:23:00
642,36.09416,27.90856,320.33,0.56,0.51,2023-07-26,2323,N20,VIIRS,n,2,296.8,5.14,N,0,2023-07-26 23:23:00
